Datum;Grupp;Serie;Värde
2000-09-09;Valutor mot svenska kronor;1 CAD;N/A
2000-09-10;Valutor mot svenska kronor;1 CAD;N/A
2000-09-11;Valutor mot svenska kronor;1 CAD;6,5275
2000-09-12;Valutor mot svenska kronor;1 CAD;6,5925
2000-09-13;Valutor mot svenska kronor;1 CAD;6,56
2000-09-14;Valutor mot svenska kronor;1 CAD;6,575
2000-09-15;Valutor mot svenska kronor;1 CAD;6,5275
2000-09-16;Valutor mot svenska kronor;1 CAD;N/A
2000-09-17;Valutor mot svenska kronor;1 CAD;N/A
2000-09-18;Valutor mot svenska kronor;1 CAD;6,615
2000-09-19;Valutor mot svenska kronor;1 CAD;6,615
2000-09-20;Valutor mot svenska kronor;1 CAD;6,655
2000-09-21;Valutor mot svenska kronor;1 CAD;6,6275
2000-09-22;Valutor mot svenska kronor;1 CAD;6,59
2000-09-23;Valutor mot svenska kronor;1 CAD;N/A
2000-09-24;Valutor mot svenska kronor;1 CAD;N/A
2000-09-25;Valutor mot svenska kronor;1 CAD;6,4725
2000-09-26;Valutor mot svenska kronor;1 CAD;6,495
2000-09-27;Valutor mot svenska kronor;1 CAD;6,4625
2000-09-28;Valutor mot svenska kronor;1 CAD;6,4475
2000-09-29;Valutor mot svenska kronor;1 CAD;6,4525
2000-09-30;Valutor mot svenska kronor;1 CAD;N/A
2000-10-01;Valutor mot svenska kronor;1 CAD;N/A
2000-10-02;Valutor mot svenska kronor;1 CAD;6,40
2000-10-03;Valutor mot svenska kronor;1 CAD;6,45
2000-10-04;Valutor mot svenska kronor;1 CAD;6,525
2000-10-05;Valutor mot svenska kronor;1 CAD;6,535
2000-10-06;Valutor mot svenska kronor;1 CAD;6,5375
2000-10-07;Valutor mot svenska kronor;1 CAD;N/A
2000-10-08;Valutor mot svenska kronor;1 CAD;N/A
2000-10-09;Valutor mot svenska kronor;1 CAD;6,5425
2000-10-10;Valutor mot svenska kronor;1 CAD;6,5625
2000-10-11;Valutor mot svenska kronor;1 CAD;6,5675
2000-10-12;Valutor mot svenska kronor;1 CAD;6,5725
2000-10-13;Valutor mot svenska kronor;1 CAD;6,5275
2000-10-14;Valutor mot svenska kronor;1 CAD;N/A
2000-10-15;Valutor mot svenska kronor;1 CAD;N/A
2000-10-16;Valutor mot svenska kronor;1 CAD;6,595
2000-10-17;Valutor mot svenska kronor;1 CAD;6,5875
2000-10-18;Valutor mot svenska kronor;1 CAD;6,56
2000-10-19;Valutor mot svenska kronor;1 CAD;6,6625
2000-10-20;Valutor mot svenska kronor;1 CAD;6,66
2000-10-21;Valutor mot svenska kronor;1 CAD;N/A
2000-10-22;Valutor mot svenska kronor;1 CAD;N/A
2000-10-23;Valutor mot svenska kronor;1 CAD;6,68
2000-10-24;Valutor mot svenska kronor;1 CAD;6,70
2000-10-25;Valutor mot svenska kronor;1 CAD;6,66
2000-10-26;Valutor mot svenska kronor;1 CAD;6,80
2000-10-27;Valutor mot svenska kronor;1 CAD;6,725
2000-10-28;Valutor mot svenska kronor;1 CAD;N/A
2000-10-29;Valutor mot svenska kronor;1 CAD;N/A
2000-10-30;Valutor mot svenska kronor;1 CAD;6,60
2000-10-31;Valutor mot svenska kronor;1 CAD;6,5875
2000-11-01;Valutor mot svenska kronor;1 CAD;6,515
2000-11-02;Valutor mot svenska kronor;1 CAD;6,4825
2000-11-03;Valutor mot svenska kronor;1 CAD;6,4575
2000-11-04;Valutor mot svenska kronor;1 CAD;N/A
2000-11-05;Valutor mot svenska kronor;1 CAD;N/A
2000-11-06;Valutor mot svenska kronor;1 CAD;6,4425
2000-11-07;Valutor mot svenska kronor;1 CAD;6,505
2000-11-08;Valutor mot svenska kronor;1 CAD;6,5225
2000-11-09;Valutor mot svenska kronor;1 CAD;6,5075
2000-11-10;Valutor mot svenska kronor;1 CAD;6,415
2000-11-11;Valutor mot svenska kronor;1 CAD;N/A
2000-11-12;Valutor mot svenska kronor;1 CAD;N/A
2000-11-13;Valutor mot svenska kronor;1 CAD;6,4625
2000-11-14;Valutor mot svenska kronor;1 CAD;6,5075
2000-11-15;Valutor mot svenska kronor;1 CAD;6,4875
2000-11-16;Valutor mot svenska kronor;1 CAD;6,4925
2000-11-17;Valutor mot svenska kronor;1 CAD;6,51
2000-11-18;Valutor mot svenska kronor;1 CAD;N/A
2000-11-19;Valutor mot svenska kronor;1 CAD;N/A
2000-11-20;Valutor mot svenska kronor;1 CAD;6,5425
2000-11-21;Valutor mot svenska kronor;1 CAD;6,5375
2000-11-22;Valutor mot svenska kronor;1 CAD;6,6475
2000-11-23;Valutor mot svenska kronor;1 CAD;6,645
2000-11-24;Valutor mot svenska kronor;1 CAD;6,6875
2000-11-25;Valutor mot svenska kronor;1 CAD;N/A
2000-11-26;Valutor mot svenska kronor;1 CAD;N/A
2000-11-27;Valutor mot svenska kronor;1 CAD;6,705
2000-11-28;Valutor mot svenska kronor;1 CAD;6,64
2000-11-29;Valutor mot svenska kronor;1 CAD;6,58
2000-11-30;Valutor mot svenska kronor;1 CAD;6,53
2000-12-01;Valutor mot svenska kronor;1 CAD;6,5125
2000-12-02;Valutor mot svenska kronor;1 CAD;N/A
2000-12-03;Valutor mot svenska kronor;1 CAD;N/A
2000-12-04;Valutor mot svenska kronor;1 CAD;6,38
2000-12-05;Valutor mot svenska kronor;1 CAD;6,30
2000-12-06;Valutor mot svenska kronor;1 CAD;6,2925
2000-12-07;Valutor mot svenska kronor;1 CAD;6,2775
2000-12-08;Valutor mot svenska kronor;1 CAD;6,3425
2000-12-09;Valutor mot svenska kronor;1 CAD;N/A
2000-12-10;Valutor mot svenska kronor;1 CAD;N/A
2000-12-11;Valutor mot svenska kronor;1 CAD;6,3775
2000-12-12;Valutor mot svenska kronor;1 CAD;6,3425
2000-12-13;Valutor mot svenska kronor;1 CAD;6,3825
2000-12-14;Valutor mot svenska kronor;1 CAD;6,3775
2000-12-15;Valutor mot svenska kronor;1 CAD;6,3225
2000-12-16;Valutor mot svenska kronor;1 CAD;N/A
2000-12-17;Valutor mot svenska kronor;1 CAD;N/A
2000-12-18;Valutor mot svenska kronor;1 CAD;6,3125
2000-12-19;Valutor mot svenska kronor;1 CAD;6,345
2000-12-20;Valutor mot svenska kronor;1 CAD;6,355
2000-12-21;Valutor mot svenska kronor;1 CAD;6,2825
2000-12-22;Valutor mot svenska kronor;1 CAD;6,26
2000-12-23;Valutor mot svenska kronor;1 CAD;N/A
